Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Jonathan Gannon,ARI,8,4,4,0,25,8,17,0,25,8,17,0,,,,,,,,,,,2024
Raheem Morris,ATL,8,5,3,0,19,9,10,0,67,26,41,0,,,,,,,0,0,0,,2024
John Harbaugh,BAL,8,5,3,0,267,165,102,0,267,165,102,0,,,,22,12,10,22,12,10,,2024
Sean McDermott,BUF,8,6,2,0,122,79,43,0,122,79,43,0,,,,11,5,6,11,5,6,,2024
Dave Canales,CAR,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,,2024
Matt Eberflus,CHI,7,4,3,0,41,14,27,0,41,14,27,0,,,,,,,,,,,2024
Zac Taylor,CIN,8,3,5,0,90,40,49,1,90,40,49,1,,,,7,5,2,7,5,2,,2024
Kevin Stefanski,CLE,8,2,6,0,75,39,36,0,75,39,36,0,,,,3,1,2,3,1,2,,2024
Mike McCarthy,DAL,7,3,4,0,74,45,29,0,278,170,106,2,,,,4,1,3,22,11,11,,2024
Sean Payton,DEN,8,5,3,0,25,13,12,0,266,165,101,0,,,,,,,17,9,8,,2024
Dan Campbell,DET,7,6,1,0,58,30,27,1,70,35,34,1,,,,3,2,1,3,2,1,,2024
Matt LaFleur,GNB,8,6,2,0,91,62,29,0,91,62,29,0,,,,7,3,4,7,3,4,,2024
DeMeco Ryans,HOU,8,6,2,0,25,16,9,0,25,16,9,0,,,,2,1,1,2,1,1,,2024
Shane Steichen,IND,8,4,4,0,25,13,12,0,25,13,12,0,,,,,,,,,,,2024
Doug Pederson,JAX,8,2,6,0,42,20,22,0,122,62,59,1,,,,2,1,1,8,5,3,,2024
Andy Reid,KAN,7,7,0,0,186,135,51,0,410,265,144,1,,,,23,16,7,42,26,16,,2024
Jim Harbaugh,LAC,7,4,3,0,7,4,3,0,71,48,22,1,,,,,,,8,5,3,,2024
Sean McVay,LAR,7,3,4,0,122,73,49,0,122,73,49,0,,,,11,7,4,11,7,4,,2024
Antonio Pierce,LVR,8,2,6,0,17,7,10,0,17,7,10,0,,,,,,,,,,,2024
Mike McDaniel,MIA,7,2,5,0,41,22,19,0,41,22,19,0,,,,2,0,2,2,0,2,,2024
Kevin O'Connell,MIN,7,5,2,0,41,25,16,0,41,25,16,0,,,,1,0,1,1,0,1,,2024
Dennis Allen,NOR,8,2,6,0,42,18,24,0,78,26,52,0,,,,,,,0,0,0,,2024
Jerod Mayo,NWE,8,2,6,0,8,2,6,0,8,2,6,0,,,,,,,,,,,2024
Brian Daboll,NYG,8,2,6,0,42,17,24,1,42,17,24,1,,,,2,1,1,2,1,1,,2024
Jeff Ulbrich,NYJ,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,interim as of week 5,2024
Robert Saleh,NYJ,5,2,3,0,56,20,36,0,56,20,36,0,,,,,,,,,,fired after week 5,2024
Nick Sirianni,PHI,7,5,2,0,58,39,19,0,58,39,19,0,,,,5,2,3,5,2,3,,2024
Mike Tomlin,PIT,8,6,2,0,283,179,102,2,283,179,102,2,,,,18,8,10,18,8,10,,2024
Mike Macdonald,SEA,8,4,4,0,8,4,4,0,8,4,4,0,,,,,,,,,,,2024
Kyle Shanahan,SFO,8,4,4,0,123,68,55,0,123,68,55,0,,,,12,8,4,12,8,4,,2024
Todd Bowles,TAM,8,4,4,0,42,21,21,0,109,47,62,0,,,,3,1,2,3,1,2,,2024
Brian Callahan,TEN,7,1,6,0,7,1,6,0,7,1,6,0,,,,,,,,,,,2024
Dan Quinn,WAS,8,6,2,0,8,6,2,0,93,49,44,0,,,,,,,5,3,2,,2024
Jonathan Gannon,ARI,16,4,12,0,16,4,12,0,16,4,12,0,,,,,,,,,,,2023
Arthur Smith,ATL,16,7,9,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2023
John Harbaugh,BAL,16,13,3,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2023
Sean McDermott,BUF,16,10,6,0,113,72,41,0,113,72,41,0,,,,9,4,5,9,4,5,,2023
Frank Reich,CAR,11,1,10,0,11,1,10,0,85,41,43,1,,,,,,,3,1,2,fired after week 12,2023
Chris Tabor,CAR,5,1,4,0,5,1,4,0,5,1,4,0,,,,,,,,,,Interim coach after week 12,2023
Matt Eberflus,CHI,16,7,9,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2023
Zac Taylor,CIN,16,8,8,0,81,36,44,1,81,36,44,1,,,,7,5,2,7,5,2,,2023
Kevin Stefanski,CLE,16,11,5,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2023
Mike McCarthy,DAL,16,11,5,0,66,41,25,0,270,166,102,2,,,,3,1,2,21,11,10,,2023
Sean Payton,DEN,16,8,8,0,16,8,8,0,257,160,97,0,,,,,,,17,9,8,,2023
Dan Campbell,DET,16,11,5,0,50,23,26,1,62,28,33,1,,,,,,,,,,,2023
Matt LaFleur,GNB,16,8,8,0,82,55,27,0,82,55,27,0,,,,5,2,3,5,2,3,,2023
DeMeco Ryans,HOU,16,9,7,0,16,9,7,0,16,9,7,0,,,,,,,,,,,2023
Shane Steichen,IND,16,9,7,0,16,9,7,0,16,9,7,0,,,,,,,,,,,2023
Doug Pederson,JAX,16,9,7,0,33,18,15,0,113,60,52,1,,,,2,1,1,8,5,3,,2023
Andy Reid,KAN,16,10,6,0,178,127,51,0,402,257,144,1,,,,19,12,7,38,22,16,,2023
Brandon Staley,LAC,14,5,9,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,fired after week 15,2023
Giff Smith,LAC,2,0,2,0,2,0,2,0,2,0,2,0,,,,,,,,,,Interim coach after week 15,2023
Sean McVay,LAR,16,9,7,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,,2023
Antonio Pierce,LVR,8,4,4,0,8,4,4,0,8,4,4,0,,,,,,,,,,Interim coach after week 8,2023
Josh McDaniels,LVR,8,3,5,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,Fired after week 8,2023
Mike McDaniel,MIA,16,11,5,0,33,20,13,0,33,20,13,0,,,,1,0,1,1,0,1,,2023
Kevin O'Connell,MIN,16,7,9,0,33,20,13,0,33,20,13,0,,,,1,0,1,1,0,1,,2023
Dennis Allen,NOR,16,8,8,0,33,15,18,0,69,23,46,0,,,,,,,0,0,0,,2023
Bill Belichick,NWE,16,4,12,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,,2023
Brian Daboll,NYG,16,5,11,0,33,14,18,1,33,14,18,1,,,,2,1,1,2,1,1,,2023
Robert Saleh,NYJ,16,6,10,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2023
Nick Sirianni,PHI,16,11,5,0,50,34,16,0,50,34,16,0,,,,4,2,2,4,2,2,,2023
Mike Tomlin,PIT,16,9,7,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2023
Pete Carroll,SEA,16,8,8,0,226,136,89,1,290,169,120,1,,,,19,10,9,22,11,11,,2023
Kyle Shanahan,SFO,16,12,4,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,,2023
Todd Bowles,TAM,16,8,8,0,33,16,17,0,100,42,58,0,,,,1,0,1,1,0,1,,2023
Mike Vrabel,TEN,16,5,11,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,,2023
Ron Rivera,WAS,16,4,12,0,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2023
Kliff Kingsbury,ARI,17,4,13,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,,2022
Arthur Smith,ATL,17,7,10,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2022
John Harbaugh,BAL,17,10,7,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,,2022
Sean McDermott,BUF,16,13,3,0,113,72,41,0,113,72,41,0,2,1,1,9,4,5,9,4,5,,2022
Steve Wilks,CAR,12,6,6,0,12,6,6,0,28,9,19,0,,,,,,,,,,Interim coach after week 5,2022
Matt Rhule,CAR,5,1,4,0,38,11,27,0,38,11,27,0,,,,,,,,,,Fired after week 5,2022
Matt Eberflus,CHI,17,3,14,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2022
Zac Taylor,CIN,16,12,4,0,81,36,44,1,81,36,44,1,3,2,1,7,5,2,7,5,2,,2022
Kevin Stefanski,CLE,17,7,10,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2022
Mike McCarthy,DAL,17,12,5,0,66,41,25,0,270,166,102,2,2,1,1,3,1,2,21,11,10,,2022
Nathaniel Hackett,DEN,15,4,11,0,15,4,11,0,15,4,11,0,,,,,,,,,,Fired after week 16,2022
Jerry Rosburg,DEN,2,1,1,0,2,1,1,0,2,1,1,0,,,,,,,,,,Interim coach after week 16,2022
Dan Campbell,DET,17,9,8,0,50,23,26,1,62,28,33,1,,,,,,,,,,,2022
Matt LaFleur,GNB,17,8,9,0,82,55,27,0,82,55,27,0,,,,5,2,3,5,2,3,,2022
Lovie Smith,HOU,17,3,13,1,17,3,13,1,193,92,100,1,,,,,,,6,3,3,,2022
Frank Reich,IND,9,3,5,1,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,Fired after week 9,2022
Jeff Saturday,IND,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,Interim coach after week 9,2022
Doug Pederson,JAX,17,9,8,0,33,18,15,0,113,60,52,1,2,1,1,2,1,1,8,5,3,,2022
Andy Reid,KAN,17,14,3,0,178,127,51,0,402,257,144,1,3,3,0,19,12,7,38,22,16,Super Bowl Champions,2022
Brandon Staley,LAC,17,10,7,0,48,24,24,0,48,24,24,0,1,0,1,1,0,1,1,0,1,,2022
Sean McVay,LAR,17,5,12,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,,2022
Josh McDaniels,LVR,17,6,11,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,,2022
Mike McDaniel,MIA,17,9,8,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,,2022
Kevin O'Connell,MIN,17,13,4,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,,2022
Dennis Allen,NOR,17,7,10,0,33,15,18,0,69,23,46,0,,,,,,,0,0,0,,2022
Bill Belichick,NWE,17,8,9,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,,2022
Brian Daboll,NYG,17,9,7,1,33,14,18,1,33,14,18,1,2,1,1,2,1,1,2,1,1,,2022
Robert Saleh,NYJ,17,7,10,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2022
Nick Sirianni,PHI,17,14,3,0,50,34,16,0,50,34,16,0,3,2,1,4,2,2,4,2,2,NFC Champions,2022
Mike Tomlin,PIT,17,9,8,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2022
Pete Carroll,SEA,17,9,8,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,,2022
Kyle Shanahan,SFO,17,13,4,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,,2022
Todd Bowles,TAM,17,8,9,0,33,16,17,0,100,42,58,0,1,0,1,1,0,1,1,0,1,,2022
Mike Vrabel,TEN,17,7,10,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,,2022
Ron Rivera,WAS,17,8,8,1,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2022
Kliff Kingsbury,ARI,17,11,6,0,66,28,37,1,66,28,37,1,1,0,1,1,0,1,1,0,1,,2021
Arthur Smith,ATL,17,7,10,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2021
John Harbaugh,BAL,17,8,9,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2021
Sean McDermott,BUF,17,11,6,0,113,72,41,0,113,72,41,0,2,1,1,9,4,5,9,4,5,,2021
Matt Rhule,CAR,17,5,12,0,38,11,27,0,38,11,27,0,,,,,,,,,,,2021
Matt Nagy,CHI,17,6,11,0,65,34,31,0,65,34,31,0,,,,2,0,2,2,0,2,,2021
Zac Taylor,CIN,17,10,7,0,81,36,44,1,81,36,44,1,4,3,1,7,5,2,7,5,2,AFC Champions,2021
Kevin Stefanski,CLE,17,8,9,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2021
Mike McCarthy,DAL,17,12,5,0,66,41,25,0,270,166,102,2,1,0,1,3,1,2,21,11,10,,2021
Vic Fangio,DEN,17,7,10,0,49,19,30,0,49,19,30,0,,,,,,,,,,,2021
Dan Campbell,DET,17,3,13,1,50,23,26,1,62,28,33,1,,,,,,,,,,,2021
Matt LaFleur,GNB,17,13,4,0,82,55,27,0,82,55,27,0,1,0,1,5,2,3,5,2,3,,2021
David Culley,HOU,17,4,13,0,17,4,13,0,17,4,13,0,,,,,,,,,,,2021
Frank Reich,IND,17,9,8,0,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,,2021
Darrell Bevell,JAX,4,1,3,0,4,1,3,0,9,2,7,0,,,,,,,,,,Interim coach after Week 14,2021
Urban Meyer,JAX,13,2,11,0,13,2,11,0,13,2,11,0,,,,,,,,,,,2021
Andy Reid,KAN,17,12,5,0,178,127,51,0,402,257,144,1,3,2,1,19,12,7,38,22,16,,2021
Brandon Staley,LAC,17,9,8,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,,2021
Sean McVay,LAR,17,12,5,0,114,69,45,0,114,69,45,0,4,4,0,10,7,3,10,7,3,Super Bowl Champions,2021
Jon Gruden,LVR,5,3,2,0,117,60,57,0,229,117,112,0,1,0,1,5,2,3,10,5,5,Resigned after Week 5,2021
Rich Bisaccia,LVR,12,7,5,0,12,7,5,0,12,7,5,0,1,0,1,1,0,1,1,0,1,Interim coach as of Week 6,2021
Brian Flores,MIA,17,9,8,0,49,24,25,0,49,24,25,0,,,,,,,,,,,2021
Mike Zimmer,MIN,17,8,9,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,,2021
Sean Payton,NOR,17,9,8,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,,2021
Bill Belichick,NWE,17,10,7,0,386,266,120,0,466,302,164,0,1,0,1,42,30,12,44,31,13,,2021
Joe Judge,NYG,17,4,13,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2021
Robert Saleh,NYJ,17,4,13,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2021
Nick Sirianni,PHI,17,9,8,0,50,34,16,0,50,34,16,0,1,0,1,4,2,2,4,2,2,,2021
Mike Tomlin,PIT,17,9,7,1,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2021
Pete Carroll,SEA,17,7,10,0,226,136,89,1,290,169,120,1,,,,19,10,9,22,11,11,,2021
Kyle Shanahan,SFO,17,10,7,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,,2021
Bruce Arians,TAM,17,13,4,0,49,31,18,0,129,80,48,1,2,1,1,6,5,1,9,6,3,,2021
Mike Vrabel,TEN,17,12,5,0,98,53,45,0,98,53,45,0,1,0,1,5,2,3,5,2,3,,2021
Ron Rivera,WAS,17,7,10,0,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2021
Jonathan Gannon,ARI,16,4,12,0,16,4,12,0,16,4,12,0,,,,,,,,,,,2023
Arthur Smith,ATL,16,7,9,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2023
John Harbaugh,BAL,16,13,3,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2023
Sean McDermott,BUF,16,10,6,0,113,72,41,0,113,72,41,0,,,,9,4,5,9,4,5,,2023
Frank Reich,CAR,11,1,10,0,11,1,10,0,85,41,43,1,,,,,,,3,1,2,fired after week 12,2023
Chris Tabor,CAR,5,1,4,0,5,1,4,0,5,1,4,0,,,,,,,,,,Interim coach after week 12,2023
Matt Eberflus,CHI,16,7,9,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2023
Zac Taylor,CIN,16,8,8,0,81,36,44,1,81,36,44,1,,,,7,5,2,7,5,2,,2023
Kevin Stefanski,CLE,16,11,5,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2023
Mike McCarthy,DAL,16,11,5,0,66,41,25,0,270,166,102,2,,,,3,1,2,21,11,10,,2023
Sean Payton,DEN,16,8,8,0,16,8,8,0,257,160,97,0,,,,,,,17,9,8,,2023
Dan Campbell,DET,16,11,5,0,50,23,26,1,62,28,33,1,,,,,,,,,,,2023
Matt LaFleur,GNB,16,8,8,0,82,55,27,0,82,55,27,0,,,,5,2,3,5,2,3,,2023
DeMeco Ryans,HOU,16,9,7,0,16,9,7,0,16,9,7,0,,,,,,,,,,,2023
Shane Steichen,IND,16,9,7,0,16,9,7,0,16,9,7,0,,,,,,,,,,,2023
Doug Pederson,JAX,16,9,7,0,33,18,15,0,113,60,52,1,,,,2,1,1,8,5,3,,2023
Andy Reid,KAN,16,10,6,0,178,127,51,0,402,257,144,1,,,,19,12,7,38,22,16,,2023
Brandon Staley,LAC,14,5,9,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,fired after week 15,2023
Giff Smith,LAC,2,0,2,0,2,0,2,0,2,0,2,0,,,,,,,,,,Interim coach after week 15,2023
Sean McVay,LAR,16,9,7,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,,2023
Antonio Pierce,LVR,8,4,4,0,8,4,4,0,8,4,4,0,,,,,,,,,,Interim coach after week 8,2023
Josh McDaniels,LVR,8,3,5,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,Fired after week 8,2023
Mike McDaniel,MIA,16,11,5,0,33,20,13,0,33,20,13,0,,,,1,0,1,1,0,1,,2023
Kevin O'Connell,MIN,16,7,9,0,33,20,13,0,33,20,13,0,,,,1,0,1,1,0,1,,2023
Dennis Allen,NOR,16,8,8,0,33,15,18,0,69,23,46,0,,,,,,,0,0,0,,2023
Bill Belichick,NWE,16,4,12,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,,2023
Brian Daboll,NYG,16,5,11,0,33,14,18,1,33,14,18,1,,,,2,1,1,2,1,1,,2023
Robert Saleh,NYJ,16,6,10,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2023
Nick Sirianni,PHI,16,11,5,0,50,34,16,0,50,34,16,0,,,,4,2,2,4,2,2,,2023
Mike Tomlin,PIT,16,9,7,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2023
Pete Carroll,SEA,16,8,8,0,226,136,89,1,290,169,120,1,,,,19,10,9,22,11,11,,2023
Kyle Shanahan,SFO,16,12,4,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,,2023
Todd Bowles,TAM,16,8,8,0,33,16,17,0,100,42,58,0,,,,1,0,1,1,0,1,,2023
Mike Vrabel,TEN,16,5,11,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,,2023
Ron Rivera,WAS,16,4,12,0,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2023
Kliff Kingsbury,ARI,17,4,13,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,,2022
Arthur Smith,ATL,17,7,10,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2022
John Harbaugh,BAL,17,10,7,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,,2022
Sean McDermott,BUF,16,13,3,0,113,72,41,0,113,72,41,0,2,1,1,9,4,5,9,4,5,,2022
Steve Wilks,CAR,12,6,6,0,12,6,6,0,28,9,19,0,,,,,,,,,,Interim coach after week 5,2022
Matt Rhule,CAR,5,1,4,0,38,11,27,0,38,11,27,0,,,,,,,,,,Fired after week 5,2022
Matt Eberflus,CHI,17,3,14,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2022
Zac Taylor,CIN,16,12,4,0,81,36,44,1,81,36,44,1,3,2,1,7,5,2,7,5,2,,2022
Kevin Stefanski,CLE,17,7,10,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2022
Mike McCarthy,DAL,17,12,5,0,66,41,25,0,270,166,102,2,2,1,1,3,1,2,21,11,10,,2022
Nathaniel Hackett,DEN,15,4,11,0,15,4,11,0,15,4,11,0,,,,,,,,,,Fired after week 16,2022
Jerry Rosburg,DEN,2,1,1,0,2,1,1,0,2,1,1,0,,,,,,,,,,Interim coach after week 16,2022
Dan Campbell,DET,17,9,8,0,50,23,26,1,62,28,33,1,,,,,,,,,,,2022
Matt LaFleur,GNB,17,8,9,0,82,55,27,0,82,55,27,0,,,,5,2,3,5,2,3,,2022
Lovie Smith,HOU,17,3,13,1,17,3,13,1,193,92,100,1,,,,,,,6,3,3,,2022
Frank Reich,IND,9,3,5,1,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,Fired after week 9,2022
Jeff Saturday,IND,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,Interim coach after week 9,2022
Doug Pederson,JAX,17,9,8,0,33,18,15,0,113,60,52,1,2,1,1,2,1,1,8,5,3,,2022
Andy Reid,KAN,17,14,3,0,178,127,51,0,402,257,144,1,3,3,0,19,12,7,38,22,16,Super Bowl Champions,2022
Brandon Staley,LAC,17,10,7,0,48,24,24,0,48,24,24,0,1,0,1,1,0,1,1,0,1,,2022
Sean McVay,LAR,17,5,12,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,,2022
Josh McDaniels,LVR,17,6,11,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,,2022
Mike McDaniel,MIA,17,9,8,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,,2022
Kevin O'Connell,MIN,17,13,4,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,,2022
Dennis Allen,NOR,17,7,10,0,33,15,18,0,69,23,46,0,,,,,,,0,0,0,,2022
Bill Belichick,NWE,17,8,9,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,,2022
Brian Daboll,NYG,17,9,7,1,33,14,18,1,33,14,18,1,2,1,1,2,1,1,2,1,1,,2022
Robert Saleh,NYJ,17,7,10,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2022
Nick Sirianni,PHI,17,14,3,0,50,34,16,0,50,34,16,0,3,2,1,4,2,2,4,2,2,NFC Champions,2022
Mike Tomlin,PIT,17,9,8,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,,2022
Pete Carroll,SEA,17,9,8,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,,2022
Kyle Shanahan,SFO,17,13,4,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,,2022
Todd Bowles,TAM,17,8,9,0,33,16,17,0,100,42,58,0,1,0,1,1,0,1,1,0,1,,2022
Mike Vrabel,TEN,17,7,10,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,,2022
Ron Rivera,WAS,17,8,8,1,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2022
Kliff Kingsbury,ARI,17,11,6,0,66,28,37,1,66,28,37,1,1,0,1,1,0,1,1,0,1,,2021
Arthur Smith,ATL,17,7,10,0,50,21,29,0,50,21,29,0,,,,,,,,,,,2021
John Harbaugh,BAL,17,8,9,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,,2021
Sean McDermott,BUF,17,11,6,0,113,72,41,0,113,72,41,0,2,1,1,9,4,5,9,4,5,,2021
Matt Rhule,CAR,17,5,12,0,38,11,27,0,38,11,27,0,,,,,,,,,,,2021
Matt Nagy,CHI,17,6,11,0,65,34,31,0,65,34,31,0,,,,2,0,2,2,0,2,,2021
Zac Taylor,CIN,17,10,7,0,81,36,44,1,81,36,44,1,4,3,1,7,5,2,7,5,2,AFC Champions,2021
Kevin Stefanski,CLE,17,8,9,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,,2021
Mike McCarthy,DAL,17,12,5,0,66,41,25,0,270,166,102,2,1,0,1,3,1,2,21,11,10,,2021
Vic Fangio,DEN,17,7,10,0,49,19,30,0,49,19,30,0,,,,,,,,,,,2021
Dan Campbell,DET,17,3,13,1,50,23,26,1,62,28,33,1,,,,,,,,,,,2021
Matt LaFleur,GNB,17,13,4,0,82,55,27,0,82,55,27,0,1,0,1,5,2,3,5,2,3,,2021
David Culley,HOU,17,4,13,0,17,4,13,0,17,4,13,0,,,,,,,,,,,2021
Frank Reich,IND,17,9,8,0,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,,2021
Darrell Bevell,JAX,4,1,3,0,4,1,3,0,9,2,7,0,,,,,,,,,,Interim coach after Week 14,2021
Urban Meyer,JAX,13,2,11,0,13,2,11,0,13,2,11,0,,,,,,,,,,,2021
Andy Reid,KAN,17,12,5,0,178,127,51,0,402,257,144,1,3,2,1,19,12,7,38,22,16,,2021
Brandon Staley,LAC,17,9,8,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,,2021
Sean McVay,LAR,17,12,5,0,114,69,45,0,114,69,45,0,4,4,0,10,7,3,10,7,3,Super Bowl Champions,2021
Jon Gruden,LVR,5,3,2,0,117,60,57,0,229,117,112,0,1,0,1,5,2,3,10,5,5,Resigned after Week 5,2021
Rich Bisaccia,LVR,12,7,5,0,12,7,5,0,12,7,5,0,1,0,1,1,0,1,1,0,1,Interim coach as of Week 6,2021
Brian Flores,MIA,17,9,8,0,49,24,25,0,49,24,25,0,,,,,,,,,,,2021
Mike Zimmer,MIN,17,8,9,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,,2021
Sean Payton,NOR,17,9,8,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,,2021
Bill Belichick,NWE,17,10,7,0,386,266,120,0,466,302,164,0,1,0,1,42,30,12,44,31,13,,2021
Joe Judge,NYG,17,4,13,0,33,10,23,0,33,10,23,0,,,,,,,,,,,2021
Robert Saleh,NYJ,17,4,13,0,50,17,33,0,50,17,33,0,,,,,,,,,,,2021
Nick Sirianni,PHI,17,9,8,0,50,34,16,0,50,34,16,0,1,0,1,4,2,2,4,2,2,,2021
Mike Tomlin,PIT,17,9,7,1,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,,2021
Pete Carroll,SEA,17,7,10,0,226,136,89,1,290,169,120,1,,,,19,10,9,22,11,11,,2021
Kyle Shanahan,SFO,17,10,7,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,,2021
Bruce Arians,TAM,17,13,4,0,49,31,18,0,129,80,48,1,2,1,1,6,5,1,9,6,3,,2021
Mike Vrabel,TEN,17,12,5,0,98,53,45,0,98,53,45,0,1,0,1,5,2,3,5,2,3,,2021
Ron Rivera,WAS,17,7,10,0,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,,2021
Kliff Kingsbury,ARI,16,8,8,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,,2020
Dan Quinn,ATL,5,0,5,0,85,43,42,0,85,43,42,0,,,,5,3,2,5,3,2,Fired after week 5,2020
Raheem Morris,ATL,11,4,7,0,11,4,7,0,59,21,38,0,,,,,,,0,0,0,,2020
John Harbaugh,BAL,16,11,5,0,258,160,98,0,258,160,98,0,2,1,1,20,11,9,20,11,9,,2020
Sean McDermott,BUF,16,13,3,0,113,72,41,0,113,72,41,0,3,2,1,9,4,5,9,4,5,,2020
Matt Rhule,CAR,16,5,11,0,38,11,27,0,38,11,27,0,,,,,,,,,,,2020
Matt Nagy,CHI,16,8,8,0,65,34,31,0,65,34,31,0,1,0,1,2,0,2,2,0,2,,2020
Zac Taylor,CIN,16,4,11,1,81,36,44,1,81,36,44,1,,,,7,5,2,7,5,2,,2020
